name;area;employer;salary;experience;monthly_hours
Администратор магазина (Горького, 18);Сарапул;МАГНИТ, Розничная сеть;56750.0;0;180.0
Водитель-экспедитор категории С;Иваново (Ивановская область);ВЕРНЫЙ, Сеть магазинов;165000.0;1;150.0
Кладовщик (1 С: УТ, склад клининговой компании);Тула;Примекс-Тула;42500.0;1;115.5
Водитель категории «С»;Тула;X5 Transport;140000.0;1;
Мастер-кладовщик, ул. Зейская, д.181;Благовещенск (Амурская область);Спортмастер;53500.0;0;120.0
Водитель категории С;Великий Новгород;МАГНИТ, Розничная сеть;119500.0;0;240.0
Водитель категории С;Воронеж;МАГНИТ, Розничная сеть;114000.0;0;240.0
Переводчик с китайского языка (медицина);Москва;ТАО;110000.0;1;178.5
Оператор 1С;Новосибирск;AVS;50000.0;1;168.0
Пекарь (Красный Ключ, Красный Ключ, Матросова, 18/1);Красный Ключ (Республика Башкортостан);Пятёрочка;42400.0;0;
Администратор магазина (Куприна, 18);Сосенское (Московская область);МАГНИТ, Розничная сеть;94650.0;0;180.0
Разработчик 1С (Junior/Middle);Москва;ЛОГОПЕР;;0;168.0
Повар (Терновского 183);Пенза;Spar;64939.5;0;174.0
Программист УТ 11, Розница;Москва;1С-Архитектор бизнеса;90000.0;1;168.0
Пекарь (Рыбинск, Рапова, 11б);Рыбинск;Пятёрочка;43000.0;0;
Оператор 1С;Москва;Прайм Фрукт;109195.5;1;168.0
Специалист ОМТС (г. Москва, Кутузовский пр., 32с21);Москва;Велесстрой;155000.0;1;168.0
Аналитик 1С:ТОиР;Чита;JSA Group;;3;168.0
Программист 1С middle+/senior;Москва;Саватнеева Екатерина Сергеевна;325000.0;3;168.0
Оператор 1C;Москва;Научно-Производственный Комплекс Криоструктура;70000.0;1;168.0
Кавист (Сургут, Профсоюзов, 11);Сургут;Перекрёсток;60000.0;0;132.0
Программист 1С;Санкт-Петербург;НПК Морсвязьавтоматика;;3;168.0
Ведущий / главный разработчик 1С ERP;Москва;Гринфилдс-Логистика;;3;168.0
Оператор 1С;Москва;Сценический Портал;80000.0;1;168.0
"Кассир в ""Гриль №1""";Кемерово;Гриль №1;40500.0;0;
Администратор магазина (Островского, 13);Ульяновск;МАГНИТ, Розничная сеть;48400.0;0;180.0
Менеджер по продажам курсов 1С в Учебный центр;Воронеж;ГК СТЭК;80000.0;1;168.0
Программист 1С;Москва;Velpharm Group (Велфарм Групп);;3;168.0
Администратор магазина (проспект Лихачёва, 16к1);Москва;МАГНИТ, Розничная сеть;98250.0;0;180.0
Стажер-аналитик 1С (с опытом бухгалтера);Москва;Гензис;170000.0;3;168.0
Оператор 1С (склад);Омск;КРАТОС;40000.0;1;168.0
Оператор 1С (склад);Иркутск;ROSSKO;50000.0;1;150.0
Помощник по консультациям в 1С Бухгалтерия;Донецк;Профит-сервис;70000.0;1;168.0
Продавец-консультант (с. Бычиха);Бычиха;Винлаб;60000.0;0;180.0
1С Специалист (разработчик);Алматы;ПЕРВЫЙ ПИВЗАВОД;150000.0;1;168.0
Менеджер по работе с клиентами;Москва;НОТЕКС;100000.0;1;168.0
Оператор 1С (УТ 11.5) / Менеджер;Санкт-Петербург;Клуб Регионов;82500.0;1;168.0
Ведущий программист 1С;Москва;Дёке Трейд Маркетинг;;3;168.0
Программист 1 С;Благовещенск (Амурская область);Асфальт;180000.0;1;168.0
Руководитель отдела разработки 1С;Санкт-Петербург;Неватех;400000.0;3;168.0
Программист 1С;Москва;Рыночный Спецдепозитарий;200000.0;3;168.0
Водитель-экспедитор категории С;Пушкино (Московская область);ВЕРНЫЙ, Сеть магазинов;165000.0;1;150.0
Программист 1С;Екатеринбург;Интеллит;275000.0;3;126.0
Менеджер по работе с клиентами;Нижний Новгород;ПО «Трубное решение»;115000.0;0;168.0
Программист 1С ERP;Москва;Соткон;230000.0;1;168.0
Аналитик-консультант 1С (начинающий специалист);Красноярск;Компания Апогей (Техподдержка 1С);80000.0;0;168.0
Разработчик 1С (Документооборот, ЗУП, УМФО);Москва;Джемтех;;3;147.0
Консультант/Методист 1С ERP (Производство и логистика);Москва;Мерелек;;3;168.0
Водитель-экспедитор с личным автомобилем до 1, 5 тонн с рефрижератором (10-14 м3);Красноярск;НПК Катрен;150000.0;3;
Ведущий программист 1С;Екатеринбург;Оккам;200000.0;3;168.0
Консультант-аналитик 1С;Москва;MGCOM;;1;168.0
Менеджер по работе с корпоративными клиентами;Тольятти;Ак Барс Банк;58200.0;0;168.0
Оператор 1С / Офис-менеджер / Помощник руководителя;Москва;Замок Сладостей;82500.0;0;168.0
Администратор магазина (Зеленая, 10И);Заречный (Пензенская область);МАГНИТ, Розничная сеть;89300.0;0;180.0
Ночной оператор 1С;Оренбург;Пинта-Регион;50000.0;1;168.0
Оператор станка с ЧПУ;Караганда;Eurasian Machinery (Евразиан Машинери);;3;168.0
Программист 1С (Ведущий программист 1С);Тула;Металлопрокатный завод;250000.0;1;168.0
Водитель категории С;Тюмень;МАГНИТ, Розничная сеть;116500.0;0;240.0
Специалист по работе с договорами;Москва;РЕСО-Гарантия, САО;100000.0;1;168.0
Продавец-кулинар (Бумажный проезд, 19с1);Москва;МАГНИТ, Розничная сеть;95450.0;0;174.0
Бариста (Москва, Марксистская, 1);Москва;Перекрёсток;78000.0;0;132.0
Программист 1С;Санкт-Петербург;MIE&MIESTILO;175000.0;1;168.0
Пекарь (Москва, Габричевского, 10);Москва;Перекрёсток;89500.0;0;132.0
Программист 1С;Алматы;АБДИ Компани;;1;168.0
"Инженер 1 категории СДТУ ЭЦ ОП ""Сахалинская ГРЭС"" с. Ильинское";Южно-Сахалинск;Сахалинэнерго;167782.0;1;168.0
Бариста (Колпино, Трудящихся, 12);Колпино;Перекрёсток;68050.0;0;132.0
Специалист по работе с клиентами;Алматы;Alcity Stroy;56250.0;1;168.0
Ведущий аналитик 1С (опер контур);Москва;Корпоративные Проекты;;3;168.0
Продавец-кассир (с. Новоживотинное);Новоживотинное;Робин Сдобин, Торгово-производственная компания;52500.0;0;
Ведущий аналитик 1C ERP (себестоимость);Москва;КАДРЫ:ПРОФ;325000.0;3;168.0
Системный аналитик 1С;Омск;Сладуница;100000.0;1;168.0
Оператор (1С, Excel);Мытищи (Московская область);ИНФРА-М, Группа Компаний;60000.0;1;168.0
Водитель-экспедитор категории С;Лобня (Московская область);ВЕРНЫЙ, Сеть магазинов;165000.0;1;150.0
Инженер-программист / Программист 1С;Гродно;МигСофт;;3;168.0
Менеджер по работе с поставщиками;Москва;Миловидов;150000.0;3;168.0
Консультант-аналитик 1С по торговым и логистическим процессам;Москва;KuchenLand;;3;168.0
Программист-методолог 1C Бухгалтерия;Москва;Урал Логистика;250000.0;3;168.0
Программист 1С;Абакан;Комплекс-Про;100000.0;1;168.0
Менеджер по работе с клиентами;Краснодар;Бизнес Трамплин;105000.0;1;168.0
Продавец (Лунная, 21);Бердск;МАГНИТ, Розничная сеть;56466.5;0;174.0
Оператор 1С / младший менеджер по закупкам;Москва;Агат +;72500.0;1;168.0
Ведущий специалист 1С;Челябинск;Челябинский Завод Теплоприбор;;3;168.0
Администратор магазина (Горный (Двуреченское с/п), Горный (Двуреченское с/п), Рассветная, 1);Горный (Пермский край);Пятёрочка;65750.0;1;
Программист 1С;Липецк;Производственный комплекс РАЦИОНАЛ;;1;168.0
Аналитик 1С;Москва;Корада;155000.0;1;168.0
Администратор магазина (Ютазинская, 16);Казань;МАГНИТ, Розничная сеть;63000.0;0;180.0
Менеджер по работе с дилерами;Ташкент;Beta;;1;168.0
Аналитик 1С ЗУП (middle);Москва;Независимая экспертиза проектов;175000.0;3;168.0
Консультант-Аналитик 1С Документооборот;Москва;ЛЕОН-ГРУПП;110000.0;1;168.0
Консультант 1С по бюджетному учету;Москва;Центр инновационных услуг;90000.0;3;168.0
Консультант 1С (БК, БГП, БГУ, ЗУП, КУФИБ);Астана;Аксиома А;82500.0;1;168.0
Программист 1С;Владимир;ГК Автотракт;;1;168.0
Оператор 1С;Луганск;Новое Время;57500.0;1;168.0
Оператор 1С;Алматы;TANDEM DISTRIBUTION;51000.0;1;168.0
Специалист технической поддержки 1С;Омск;Суши-Маркет;85000.0;3;168.0
Инженер-программист С/С++;Москва;Алео-Альянс;;3;168.0
Консультант 1С;Воронеж;Первый Бит;50000.0;0;168.0
Администратор магазина (Ветлужская, 60/1);Пермь;МАГНИТ, Розничная сеть;59250.0;0;180.0
Продавец в салон МТС (Республики ул, 181);Тюмень;Розничная сеть МТС;55000.0;0;153.0
Администратор магазина (Димитрова, 14);Выборг;МАГНИТ, Розничная сеть;65780.0;0;180.0
Оператор 1 С;Екатеринбург;Торговая Группа Альянс;61500.0;1;168.0
Менеджер по продажам 1С (без поиска);Москва;1С-АВТОМАТИЗАЦИЯ;115000.0;1;168.0
Продавец (Геодезическая, 7/1);Обь;МАГНИТ, Розничная сеть;53433.5;0;174.0
Младший системный администратор 1С;Киров (Кировская область);МастерСофт;70000.0;0;168.0
Оператор 1С;Севастополь;Добрыня-Русь;65000.0;1;
Менеджер по продажам продуктов 1С;Воронеж;СофтСервис;95000.0;1;168.0
Программист 1С;Санкт-Петербург;Малтри;;1;168.0
Оператор 1С / Офис-менеджер;Симферополь;Восхождение;70000.0;1;168.0
Водитель-экспедитор с личным автомобилем (до 1,5 тонн);Воронеж;МД Деливери+;150000.0;1;200.0
Менеджер по недвижимости (Выборная, 125/1, Выборная, 144/1);Новосибирск;Агентство Недвижимости Жилфонд;200000.0;0;168.0
Администратор 1С;Воронеж;ПК МАГС;;1;168.0
Бухгалтер (оператор 1 С);Казань;Мототехник Центр;55000.0;1;189.0
Руководитель проектов 1С / ТимЛид проектов 1С;Ростов-на-Дону;iTeal;250000.0;3;168.0
Инженер-программист 1 категории;Москва;Автономная Некоммерческая организация по Развитию Городской Среды Гормостстройтрест;150000.0;3;168.0
Продавец-сборщик заказов (Красногорск, автодорога Балтия, 21-й, 1А);Красногорск (Московская область);Перекрёсток;82500.0;0;132.0
Программист 1С;Москва;Инсайт Люди;;1;168.0
Программист 1С;Нижний Новгород;Кодар;210000.0;1;168.0
Оператор 112;Волоколамск  (Московская область);МКУ Единая Дежурно-Диспетчерская Служба Волоколамского Городского Округа;41500.0;0;168.0
Аналитик - тестировщик 1С;Санкт-Петербург;ПЕНОПЛЭКС;;1;168.0
Оператор 1C;Магнитогорск;Басова Елена Ивановна;30000.0;1;84.0
