name;area;employer;salary;experience;monthly_hours
Медицинский психолог в детскую больницу;Вологда;БУЗ Вологодской области Вологодская областная детская клиническая больница;45600.0;0;
Руководитель HR отдела;Астана;КазГЮУ, АО;;3;168.0
Пекарь/тестовод;Москва;Азбука вкуса;95900.0;1;180.0
Педагог-психолог;Москва;ГБОУ Школа № 1874;80000.0;3;
Директор супермаркета (улица 3-е Почтовое Отделение);Люберцы  (Московская область);Лента, федеральная розничная сеть;;1;168.0
Операционный менеджер в онлайн проект;Москва;Жукова Наталья Александровна;45000.0;1;168.0
Директор Факультета Психологии;Москва;Кадровое агентство «Синергия»;300000.0;3;168.0
Бариста - психолог;Санкт-Петербург;Секретер;58200.0;1;180.0
Заместитель начальника мясного производства (улица Доваторцев);Ставрополь;Лента, федеральная розничная сеть;73000.0;1;
HR;Ташкент;RECURO;95000.0;1;168.0
Медицинский психолог;Омск;ФБУ Центр реабилитации Фонда пенсионного и социального страхования Российской Федерации Омский;80000.0;1;168.0
Помощник - упаковщик товаров для дома в пункт выдачи;Химки (Московская область);Департамент Ф53;106500.0;0;
Администратор магазина (проспект Строителей);Кудрово;Лента, федеральная розничная сеть;79800.0;1;
Психолог;Москва;Лучи;;1;
Менеджер реферальной программы/программы лояльности в международный институт психологии;Санкт-Петербург;Институт Smart;130000.0;1;168.0
Педагог-психолог;Омск;КУЗОО Специализированный дом ребенка;30046.5;1;147.0
Пекарь-универсал (улица Энгельса);Курск;Лента, федеральная розничная сеть;47000.0;0;
Воспитатель;Воронеж;Загребельный Никита Игоревич;52500.0;1;168.0
Психолог;Суворов;ГУ ТО ЦЗН г.Суворова;60000.0;1;168.0
Психолог в социальной сфере (преподаватель);Москва;ГБУ Центр Содействие;92500.0;1;168.0
Директор склада Озон фреш (Гидрострой);Краснодар;Ozon;104000.0;1;168.0
Автор научных и студенческих работ по гуманитарным дисциплинам (Психология, Педагогика);Минск;Хэппи Студент;;1;55.0
Менеджер по работе с клиентами;Алматы;Inspire International;75000.0;0;168.0
Медицинский психолог;Москва;Государственное бюджетное учреждение здравоохранения города Москвы Детская городская поликлиника № 143 Департамента здравоохранения города Москвы;;3;
Директор офиса продаж и обслуживания;Москва;билайн;125500.0;1;168.0
Медицинский психолог;Ижевск;БУЗ УР 1РКБ МЗ УР;;0;168.0
Head of Content-Marketing / Head of Marketing / Head of PMM;Москва;Тэлентси;200000.0;1;168.0
Специалист отдела кадров;Санкт-Петербург;Улыбка радуги;75000.0;1;168.0
Продавец-консультант бездымных систем (ТЦ Метрополис);Москва;ANCOR;99000.0;0;
Специалист отдела продаж и обслуживания;Иваново (Ивановская область);Россельхозбанк;37100.0;1;168.0
Бухгалтер по работе с клиентами 1С;Оренбург;МастерСофт;60000.0;1;168.0
Кабельщик-спайщик;Липецк;Ростелеком;46000.0;0;168.0
Командный тренер / Спортивный тренер;Москва;Школа Мужества;105000.0;1;
Ревизор;Красноярск;МАГНИТ, Розничная сеть;87100.0;1;
Няня в Vip семью;Москва;Made of Storm;12000.0;6;
Секретарь;Саратов;Россельхозбанк;44000.0;0;168.0
Кассир (Урхов переулок);Санкт-Петербург;Лента, федеральная розничная сеть;63000.0;0;
Учитель начальных классов в частную школу;Казань;Юные Творцы;70000.0;1;168.0
Старший продавец (ул. Кузоваткина);Нижневартовск;Лента, федеральная розничная сеть;75500.0;1;
Специалист по безопасности (Говорово);Москва;Лента, федеральная розничная сеть;84000.0;1;
Нейропсихолог / психолог (детский);Вологда;Многопрофильный центр развития и коррекции речи;;6;147.0
Руководитель отдела продаж ресторана;Омск;Европейский;100000.0;1;168.0
Рефлексотерапевт;Санкт-Петербург;Анриуд Владимир Эрнестович;95000.0;1;144.0
Педагог-психолог;Березники;МАДОУ Детский сад 37;27093.0;0;
