name;area;employer;salary;experience;monthly_hours
Преподаватель программирования (HTML/CSS/JavaScript);Самара;EasyCode;75000.0;0;115.5
Middle backend developer / Python специалист;Москва;Brandquad;;3;176.0
Заместитель IT директора по Информационной безопасности;Москва;Красное & Белое, розничная сеть;;3;176.0
QA Automation Python specialist;Москва;Лыжин Алексей Вячеславович;;3;176.0
Специалист по информационной безопасности (SIEM);Минск;СИСТЕМНЫЕ ТЕХНОЛОГИИ;;1;176.0
Специалист по обеспечению данными;Темиртау;Qarmet;;1;176.0
Аналитик по автоматизации бизнес-процессов (Python / SQL);Санкт-Петербург;КЕЙС ПЛЭЙС;80000.0;1;176.0
Middle Data Analyst (ML) / Аналитик данных;Москва;Арнест ЮниРусь;;3;176.0
Аналитик сетевой безопасности;Новосибирск;Совкомбанк Технологии;;1;176.0
Python-разработчик / Junior Developer;Москва;Интрейс Групп;;0;
Senior Marketing Analyst;Москва;Instories;;6;176.0
Преподаватель программирования на платформах Scratch, App inventor, Python;Казань;Технополис;45000.0;0;142.66666666666666
Middle RnD-эксперт (Classic ML и AI-агенты);Москва;СБЕР;;3;176.0
Инженер-программист middle/senior ML Research Engineer (Image, Video);Минск;Пеленг;;1;176.0
Python developer [Trust and Safety];Москва;RWB (Wildberries & Russ);;3;176.0
Аналитик продаж = Аналитик данных;Ташкент;XAVFSIZ TARMOQ;;3;
Инженер-программист;Москва;Бфг;;3;176.0
Python-разработчик;Москва;ТЕХНОЛОГИИ ОТРАСЛЕВОЙ ТРАНСФОРМАЦИИ;;3;176.0
Senior Data Scientist;Москва;Страховая компания Сбербанк страхование;;6;176.0
Официант;Новосибирск;Питон;100000.0;0;180.0
Маркетинговый аналитик;Москва;2ГИС;;3;176.0
Руководитель команды аналитики / Lead Game Analyst;Москва;MadOut Games;;6;176.0
Backend-разработчик (PHP/Python);Москва;Киномакс;;1;176.0
Аналитик фида / Анти-фрод;Санкт-Петербург;Софтвайс;99000.0;1;176.0
Разработчик информационных систем на Oracle/Python;Москва;АНОВО МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ;175000.0;3;176.0
Python Developer (AI team);Йошкар-Ола;TravelLine;;3;176.0
Стажёр аналитик Spark Hadoop BigData;Москва;Datanomica;80000.0;1;176.0
ML Engineer (NLP);Москва;Центральный банк Российской Федерации (Банк России);;1;176.0
Python backend разработчик;Омск;Федеральная Академия вождения Вектор;90000.0;1;176.0
QA Engineer (робототехника);Москва;Авихимса;135000.0;1;176.0
Python Backend Developer;Москва;Aston;;3;176.0
Generative AI Engineer (Yerevan);Москва;BostonGene Technologies;;3;176.0
Full-stack разработчик (Python/React) в команду AI в команду внутренних платформ;Тюмень;Этажи Федеральная компания;140000.0;1;176.0
Доцент/преподаватель информатики;Курск;Курский филиал Финансового университета при Правительстве РФ;;1;176.0
Middle Python Backend Developer;Астана;K-Line Network;75000.0;1;176.0
Руководитель направления (речевые технологии и синтез речи);Москва;Diamond Personnel R&C;250000.0;3;176.0
RPA-разработчик/RPA Developer middle;Москва;Primo RPA;;3;176.0
Программный эксперт курса «Нейросети для продакт-менеджера» в Практикум;Москва;Яндекс;;6;44.0
Senior Backend Engineer;Москва;Платформа Сейлз Чейн;;6;176.0
Python-разработчик по интеграции с AI;Уфа;ЭЛЕКТРОННЫЕ ОФИСНЫЕ СИСТЕМЫ;;1;176.0
Разработчик BI;Москва;МАГНИТ, Розничная сеть;;3;176.0
Руководитель практики (DS\наука о данных);Москва;Лемана ПРО;;3;176.0
Fullstack-разработчик;Тбилиси;Agiens;;3;198.0
Python-разработчик;Казань;Алабуга, ОЭЗ ППТ;240000.0;1;198.0
Python-разработчик (middle);Москва;T2;;3;176.0
Системный администратор (iGaming);Москва;Lenkep recruitment;;3;176.0
Senior Cloud Product Engineer / Architect (IaaS + Web + Billing Integration);Москва;Спектр;;6;
Tools Developer (Unreal Engine);Минск;Леста Игры;;3;176.0
Инженер по автоматизации тестирования Python, Ozon Travel;Москва;Ozon;;1;176.0
Middle Full-Stack Разработчик (Python/React/AI);Москва;Signal;;3;176.0
UX Researcher;Москва;Леста Игры;;1;176.0
Fullstack QA Python (сетевой опыт);Москва;Медиа Ком;;3;176.0
LLMOps/AI инженер;Санкт-Петербург;АБ Маркетинг;135000.0;1;176.0
Ведущий консультант-разработчик Форсайт;Москва;Biplanum;;3;176.0
DevOps-инженер;Москва;Techno Diasoft;200000.0;3;176.0
Учитель информатики и программирования;Москва;Наследник, АНО СОЧШ;;1;
Инженер по настройке контроллеров базовых станций (BNС/RNC);Омск;T2;;1;176.0
Аналитик отдела финансового планирования;Москва;Х5;;3;176.0
Преподаватель робототехники и программирования;Воронеж;Школа робототехники и мехатроники Робокодинг;60000.0;0;176.0
Системный администратор - DevOps;Москва;Сорб групп;;3;176.0
Преподаватель кафедры компьютерных и информационных наук по дисциплинам программирования;Алматы;Международный Университет Информационных Технологий (МУИТ);;6;104.0
Педагог дополнительного образования по направлению БПЛА;Челябинск;Региональный центр технического творчества Челябинской области;;0;
Python-разработчик (middle, middle+);Москва;Боулсофт;160000.0;3;176.0
Руководитель направления в отдел внутреннего аудита;Москва;Rambler&Co;;3;176.0
Python-разработчик в Fintech;Москва;Secunda;;3;176.0
Python Developer;Минск;Team.Inno / Фабрика инноваций и решений;;1;176.0
Инженер-программист;Уфа;Научно-исследовательский институт транспорта нефти и нефтепродуктов Транснефть;138000.0;1;176.0
Python Backend Developer;Алматы;«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»;;3;176.0
Программист (Python / C++ / C, телематика и обработка данных);Москва;Смарт Телематик Технолоджи;130000.0;3;176.0
Автоматизатор - ТG боты, TMA (Python/JS/C), интеграции LLM, AI/ML (ОФИС!!!);Москва;Эксим Интернешнл;;1;176.0
Python-разработчик (со срочным выходом в течении 3 дней!);Москва;ИЦ АЙ-ТЕКО;;3;176.0
Senior Python Developer;Москва;Филиал компании Лист Ренталс Лимитед;;6;176.0
Руководитель команды разработки (Team Lead Python);Москва;X5 Tech;;6;176.0
Системный администратор;Санкт-Петербург;Вальд;130000.0;1;176.0
Руководитель направления (Python Lead);Самара;СБЕР;;6;176.0
Продуктовый аналитик;Калининград;Бауцентр;250000.0;3;176.0
UAV Software Engineer (Управление исследований и инноваций);Санкт-Петербург;СБЕР;;3;176.0
Junior QA Automation Engineer (Python / Selenium);Казань;ДЕКА;100000.0;1;176.0
Универсальный Преподаватель;Ташкент;Компьютерная Академия IT STEP;;1;148.0
Преподаватель Python;Москва;Центр программирования Coding Skills;150000.0;0;
Python разработчик (LLM);Москва;DCloud;250000.0;3;176.0
Старший Python-разработчик в команду Кино/ТВ (Django Rest Framework);Санкт-Петербург;VK;;3;176.0
Бизнес-аналитик;Москва;Московская школа управления СКОЛКОВО;;1;176.0
Риск-менеджер;Москва;Ориджин Банк;;3;176.0
Middle+ Python Developer;Москва;АстраЗенека;;3;176.0
Старший научный сотрудник/научный сотрудник (бортовое программное обеспечение);Москва;НПЦАП (Научно-производственный центр автоматики и приборостроения имени академика Н. А. Пилюгина);189609.0;3;176.0
Data Analyst;Минск;АЛЬФА-БАНК;;3;176.0
