name;area;employer;salary;experience;monthly_hours
Специалист договорного отдела/юрист;Москва;КСД Групп;130000.0;1;168.0
Юрист;Санкт-Петербург;ПИКАССО;85000.0;1;168.0
Юрист;Москва;BORK;;3;168.0
Юрист;Санкт-Петербург;Минский молочный завод №1;120000.0;6;168.0
Юрист;Ташкент;ЧАКБ «ДАВР БАНК» ;;1;189.0
Юрист;Тамбов;Юридическая компания Мелнис и Партнеры;50000.0;3;
Юрисконсульт;Москва;INMYROOM;;3;168.0
Старший юрист IP/IT;Москва;Леста Игры;;3;168.0
Юрист/специалист по закупкам;Тюмень;Визирь;40000.0;1;168.0
Юрист по сопровождению договорно-правовой работы;Москва;Ренессанс Банк;;3;168.0
Младший юрист;Москва;Konica Minolta;;1;168.0
Юрист БФЛ;Кемерово;АНО Третейский суд;85000.0;1;168.0
Юрист;Санкт-Петербург;Nuova group (ООО Лаборатория Управления Инженерными Проектами);115000.0;3;168.0
Юрист;Екатеринбург;Россети Урал;80000.0;1;168.0
Юрист по корпоративному праву и M&A;Санкт-Петербург;Ай-Лигал;;1;168.0
Юрист в строительную компанию;Москва;ЭГС;120000.0;1;168.0
Юрисконсульт;Воронеж;ОФИСМАГ;88000.0;1;168.0
Ведущий юрист\заместитель начальника юридического отдела (офис);Москва;Юридический центр Фаворит;170000.0;3;168.0
Юрист;Шымкент;RA MASTONE;60000.0;3;168.0
Юрист;Владивосток;ГУ Приморскстат;59500.0;0;168.0
Юрист по международному налоговому праву / структурированию бизнеса;Москва;Вектор;145000.0;3;94.5
Юрист;Екатеринбург;AP-Lead;;3;168.0
Юрисконсульт;Курск;АгроТерра, группа компаний;;3;168.0
Юрист;Челябинск;Get Petrol;85000.0;3;168.0
Юрисконсульт/ведущий/главный юрисконсульт;Москва;ПСК Магистраль-Энерго;110000.0;1;168.0
Юрист со знанием английского языка;Санкт-Петербург;Лисхор;135000.0;3;168.0
Старший юрист банкротной практики;Москва;Адвокатское бюро города Москвы Деловой фарватер;;6;168.0
