name;area;employer;salary;experience;monthly_hours
Электрогазосварщик;Архангельск;Торин;87500.0;1;176.0
Электрогазосварщик;Новосибирск;Перспектива;100000.0;1;176.0
Электрогазосварщик ручной сварки ОФ;Зилаир;Башкирская медь;;3;242.0
Электрогазосварщик на Курскую АЭС;Брянск;ИнСетКом;206000.0;3;312.0
Сварщик;Алматы;VITA BOTTLERS КАЗАХСТАН;22200.0;1;176.0
Сварщик;Петровск;Резервуаростроитель;;3;176.0
Электрогазосварщик в ремонтную группу;Самара;ПКК ВЕСНА;58000.0;3;176.0
Электросварщик;Петропавловск;KazCrane Engineering;75000.0;3;176.0
Электросварщик ручной сварки / электрогазосварщик (ОП ЯНАО Харасавей, Тамбей);Уфа;Газстройпром;167000.0;1;220.0
Вышкомонтажник-сварщик 4 разряда (ЧНГКМ);Уфа;Газпром бурение;112728.0;1;
Электрогазосварщик;Липецк;Глотов Сергей Васильевич;;1;176.0
Сварщик;Улиткино (Московская область);Плазма;125000.0;1;176.0
Электрогазосварщик;Кисловодск;Теплоэнерго Кисловодск;57500.0;1;176.0
Вышкомонтажник-сварщик;Иркутск;Восточно-Сибирская Компания;210000.0;1;242.0
Электрогазосварщик;Гомель;Буровая компания Дельта;;1;286.0
Сварщик трубопроводов;Минск;ЦЕНТРОЭНЕРГОМОНТАЖ;;1;176.0
Электросварщик ручной сварки;Оренбург;Кадровое Агентство Лори;278000.0;1;220.0
Электрогазосварщик;Чебоксары;Промлит;;1;176.0
Электрогазосварщик (ручной сварки);Щелково (Московская область);Объединенная металлургическая компания;;1;176.0
Сварщик;Омск;Астра;73500.0;1;180.0
Электросварщик на автоматических и полуавтоматических машинах;Туймазы;КАМАЗ;90000.0;1;240.0
Сварщик;Ростов-на-Дону;КадровыйСоюз;159168.0;0;228.0
Электрогазосварщик;Магнитогорск;Прогресс;100000.0;1;220.0
Электросварщик;Иваново (Ивановская область);Гарпикс;80000.0;3;176.0
Сварщик-помбур;Санкт-Петербург;СК ГОРОД;150000.0;3;
Электрогазосварщик в ИСТОК/РОСАТОМ;Магнитогорск;КИС ИСТОК;190000.0;6;286.0
Сварщик-сборщик металлоконструкций;Липецк;ЛТ;150000.0;1;176.0
Электрогазосварщик на полуавтоматических машинах;Кемерово;ЗЭМ;;1;165.0
Электрогазосварщик;Биробиджан;Промтехсервис;170000.0;1;286.0
Газосварщик-сантехник;Красногорск (Московская область);Солнечный Город;130000.0;1;176.0
Электросварщик на автоматических и полуавтоматических машинах;Минск;Алютех;;1;210.0
Сварщик;Карабаново;Русклимат;90000.0;1;198.0
Сварщик;Благовещенск (Амурская область);ТСК Восток Блок Строй;160000.0;1;240.0
Электрогазосварщик НАКС СК;Тверь;Стартафф;228000.0;1;286.0
Электрогазосварщик;Белгород;Северсталь;;1;264.0
Электрогазосварщик НАКС РАД, РД КО (АТЭЦ);Абакан;Сибирская генерирующая Компания;130000.0;1;176.0
Электрогазосварщик;Челябинск;ГАУЗ Областная клиническая больница № 3;57000.0;1;176.0
Электрогазосварщик НАКС РД, НГДО п.4, ОХНВП п.16, СК п.3 (Сабетта);Уфа;Альянс;290000.0;3;220.0
Электросварщик ручной сварки;Череповец;Коксохиммонтаж-2;120000.0;1;176.0
Сварщик (НАКС СК ОХНВП);Екатеринбург;Профит Центр;277000.0;1;286.0
Электрогазосварщик;Улан-Удэ;УРАНГЕО;100000.0;1;286.0
Сварщик ручной аргонодуговой сварки (РАД);Тюмень;Группа компаний «100 тонн»;203476.0;1;260.0
Сварщик;Саратов;Саратовтепломонтаж;;1;264.0
Электрогазосварщик;Саратов;Саратовводоканал;67000.0;1;165.0
Электрогазосварщик 5, 6 разрядов;Москва;Московская объединенная энергетическая компания;106335.0;1;528.0
Сварщик на полуавтомат;Челябинск;Блэк-инжиниринг;155000.0;1;176.0
Сварщик на полуавтомат;Иркутск;Полярник;100000.0;1;176.0
Сварщик;Екатеринбург;Промимпульс;160000.0;6;260.0
Электросварщик ручной сварки;Наро-Фоминск (Московская область);ПИК-специализированный застройщик;122000.0;1;176.0
Сварщик-судосборщик;Санкт-Петербург;Нева Тревел Компани;90000.0;1;192.0
Электрогазосварщик МК;Дзержинский  (Московская область);НИПТ;161000.0;1;273.0
Сварщик;Ижевск;Воркинг Стафф;180000.0;3;
Электрогазосварщик;Воскресенск (Московская область);Основа;145000.0;1;199.5
Сварочно-монтажная бригада тт с бригадиром - сварщиком;Челябинск;Р-Строй;275000.0;1;220.0
Сварщик;Уфа;Гранд СК;350000.0;1;286.0
Электрогазосварщик 5-6 разряда;Москва;ГЭХ Теплоэнергоремонт;142500.0;1;176.0
Электрогазосварщик;Сызрань;Сызранский нефтеперерабатывающий завод;56000.0;1;176.0
Электрогазосварщик;Мытищи (Московская область);Фирма ВОДОКОМФОРТ;155000.0;1;180.0
Сварщик;Новосибирск;ВентКомплекс;120000.0;1;264.0
Электрогазосварщик НАКС;Екатеринбург;Кадровое Агентство Лори;200000.0;1;286.0
Сварщик;Хабаровск;Вентайр;125000.0;1;176.0
Сварщик;Березники;Стальстройтехнологии;200000.0;1;
Электросварщик;Мариинск;Транснефть - Западная Сибирь;151500.0;1;176.0
Электрогазосварщик;Екатеринбург;Пневмостроймашина, АО (PSM-HYDRAULICS);50000.0;1;176.0
Сварщик;Хабаровск;Алекберов Антон;100000.0;1;198.0
Сварщик-оператор роботизированного оборудования;Дзержинск (Нижегородская область);Комплект Деталь Поволжье;75000.0;0;176.0
Сварщик НАКС Полуавтомат (МП);Москва;Соним;250000.0;1;
Сварщик/Оператор роботизированной сварки;Пермь;Роботех;80000.0;1;176.0
Сварщик на полуавтомат (ученик);Ульяновск;АВТОКОМПОНЕНТ;40000.0;0;176.0
Электрогазосварщик/электросварщик (Курская АЭС-2);Волгодонск;Акционерное общество «Энергоспецмонтаж» (Инжиниринговый дивизион Госкорпорации «Росатом»);198500.0;1;260.0
Сварщик-аргонщик;Мурманск;ПОЛАТИ;263200.0;1;
Электрогазосварщик;Ишим;Черкизово, Группа предприятий;61800.0;1;180.0
Сварщик;Москва;СТК КЛАДЕЗЬ;172500.0;3;204.0
Электрогазосварщик;Благовещенск (Республика Башкортостан);Торговый дом Славянский;100000.0;1;240.0
Электросварщик РД (аргон);Челябинск;Авангард;210000.0;1;286.0
Сварщик ПНД труб технологических трубопроводов;Москва;ТСП;130000.0;1;176.0
Электрогазосварщик 5 разряд НАКС ГДО;Новокузнецк;СУЭК, Сибирская Угольная Энергетическая Компания;267600.0;1;242.0
Электрогазосварщик (НАКС);Уфа;ТРЕСТ СЕВЗАПЭНЕРГОМОНТАЖ;;1;
Газосварщик;Химки (Московская область);Сигма Тек;108900.0;1;176.0
Сварщик РД/РАД 4,5 и 6 разряда;Таганрог;Гранд СК;220000.0;1;286.0
Электрогазосварщик;Темиртау (Кемеровская область);ЕВРАЗ;78000.0;1;176.0
Электрогазосварщик 5 разряда;Хабаровск;Охотская Горно-Геологическая Компания;;1;242.0
Электрогазосварщик, г. Ухта;Пермь;СоюзКомплект;200000.0;1;242.0
Сварщик - монтажник;Алматы;PrealuxDSS;60000.0;1;187.0
Сварщик-аргонщик (Гатчинский р-н);Санкт-Петербург;СТОРГЕ БК;200000.0;3;260.0
Электрогазосварщик;Выборг;Теплоэнерго-инвест;80000.0;1;176.0
Электрогазосварщик;Балашиха (Московская область);Керамик Солюшнс Рус, (Церсанит);87600.0;3;176.0
Электрогазосварщик;Санкт-Петербург;Судостроительный завод Отрадное;130000.0;3;176.0
Электрогазосварщик;Домодедово (Московская область);КТ Усады;135000.0;1;185.0
Электрогазосварщик;Краснодар;Норникель;195500.0;1;286.0
Электрогазосварщик;Жодино;Серволюкс, Группа компаний;;1;176.0
Электрогазосварщик (КСМУ, НАКС РАД, РД КО);Красноярск;Сибирская генерирующая Компания;150000.0;1;176.0
Электрогазосварщик с НАКС РД СК;Иркутск;Промстроймонтаж;212500.0;3;242.0
Электрогазосварщик;Великий Новгород;МЗ Новгородский;70000.0;1;176.0
Электрогазосварщик;Самара;РСК Армада;300000.0;0;242.0
Электрогазосварщик;Академгородок (Новосибирская область);ФГУП Управление энергетики и водоснабжения;103000.0;1;176.0
Сварщик;Пикалево;АСПЭК-Лес Ефимовский;62500.0;1;176.0
Электрогазосварщик НАКС (РАД, РД, РефГРЭС);Рефтинский;Сибирская генерирующая Компания;150000.0;1;176.0
Электрогазосварщик 5 разряд НАКС ГДО;Большая Талда (Кемеровская область);СУЭК, Сибирская Угольная Энергетическая Компания;267600.0;1;242.0
Электрогазосварщик РД (Тобольск);Уфа;Енер-холдинг;7000.0;1;220.0
Сварщик;Первоуральск;Группа ПТК;100000.0;3;
Сварщик;Санкт-Петербург;Предприятие Гальваник;120000.0;1;156.0
Сварщик;Новосибирск;Термокрафт;92500.0;1;176.0
Сварщик/электрогазосварщик;Липецк;Алекса;80000.0;1;176.0
Электрогазосварщик;Санкт-Петербург;Завод им. А.А. Кулакова;87000.0;1;176.0
Электросварщик на автоматических и полуавтоматических машинах (3-5 р.);Шлиссельбург;Невский судостроительно-судоремонтный завод;130000.0;1;176.0
Сварщик;Калининград;Калининградский мотозавод;85000.0;1;176.0
Сварщик сборщик;Нижний Новгород;АГП-Центр;100000.0;3;176.0
Электрогазосварщик;Омск;ТЭСС;;1;242.0
Сварщик-аргонщик;Щербинка (Московская область);СИРИУС;150000.0;3;176.0
Сварщик;Северск (Томская область);Гринатом;60000.0;0;176.0
Сварщик;Новосибирск;К54;70000.0;1;176.0
Электрогазосварщик;Саяногорск;Эн+;;1;176.0
Электрогазосварщик;Магнитогорск;Сервиспро;90000.0;1;176.0
Электрогазосварщик трубопроводов (сантехнических);Минск;СтройМонолит;;1;176.0
Сварщик трубопроводов;Калининград;ПОЛАТИ;263200.0;1;
Сварщик;Благовещенск (Амурская область);Траст Строй;187500.0;1;
Электрогазосварщик;Москва;ЭдвансСтрой;130000.0;1;176.0
Сварщик;Воскресенск (Московская область);Стул Груп;90000.0;1;176.0
Сварщик;Москва;НЕФТЕГАЗПРОМСТРОЙ;315000.0;3;220.0
Газосварщик;Москва;Российские космические системы;100000.0;1;176.0
Сварщик;Красноярск;Холва;142500.0;1;231.0
Сварщик;Борисов;Мидивисана;;1;180.0
Мастер по сварке (энергетическое строительство, Южно-Якутская ТЭС);Москва;Партнер Строй-Монтаж;;1;260.0
Электрогазосварщик;Минск;Минскремстрой филиал Сантехгазмонтаж;;1;176.0
