name;salary;experience;company;region;monthly_hours
Инженер по автоматизации тестирования (AQA Python);;3;YADRO;Нижний Новгород;176.0
Разработчик (Бэкенд developer / Python) Middle+;170000.0;1;МСТРОЙ;Тюмень;176.0
Python Developer (middle+);;3;RDP.RU;Москва;176.0
Team Lead Python Developer (GigaLegal, Legal AI);;6;СБЕР;Москва;176.0
Python backend разработчик;;1;Волгин Дмитрий Олегович;Якутск;176.0
Python-разработчик;1500.0;3;КомьюнитиТех Групп;Москва;176.0
Senior Data Engineer (Python);365000.0;3;ArtVolkov.ru;Москва;176.0
Backend-разработчик Python (Junior);112500.0;1;Алабуга, ОЭЗ ППТ;Нижний Новгород;176.0
Fullstack QA Automation Engineer Python;;3;МТС Банк;Москва;176.0
Разработчик Python (Django, DRF);;3;Ред Софт;Санкт-Петербург;176.0
Разработчик на Python / JavaScript / Node.js;70000.0;1;Интернет РЕВОЛЮЦИЯ;Омск;176.0
Python-разработчик;;1;Сбер Бизнес Софт;Москва;176.0
Python-разработчик;;3;Нетбелл;Москва;176.0
Senior Data Engineer (ClickHouse, Python);;6;Новео;Сербия;176.0
Senior Python-разработчик;;6;KTS;Москва;176.0
Ведущий разработчик (Python, C#);294000.0;3;Talent Pool;Москва;176.0
Tech Lead (Python);;6;YADRO;Москва;176.0
Python‑разработчик (алготрейдинг, Pine/DSL);50000.0;1;Петров Игорь Кириллович;Москва;165.0
Python-разработчик;265000.0;3;Мебельная фабрика Мечта;Москва;176.0
Python-разработчик;;3;Koronatech;Санкт-Петербург;176.0
Python-разработчик;;1;Subscrible;Тбилиси;
Middle Python Backend Developer;75000.0;1;K-Line Network;Астана;176.0
Python разработчик (КиберАналитик);;3;СБЕР;Рязань;176.0
Python-разработчик;165000.0;3;ROIburo;Екатеринбург;176.0
Python-разработчик;325000.0;3;Снэп АйТи;Москва;176.0
Trainee Python Developer;;0;Team.Inno / Фабрика инноваций и решений;Могилев;176.0
Python-разработчик;100000.0;1;Fortech;Ростов-на-Дону;176.0
Junior QA Automation Engineer (Python / Selenium);100000.0;1;ДЕКА;Казань;176.0
Python разработчик;;3;Т-Банк;Екатеринбург;176.0
Python разработчик;;3;Т-Банк;Санкт-Петербург;176.0
Python Developer (Middle/Middle+);;3;Мустанг Технологии Кормления;Москва;176.0
